Body,Sample,Au_ppb,Ag_ppm,As_ppm,Bi_ppm,Cr_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Al_pct,Fe_pct,S_ppm,Sb_ppm,Te_ppm,Ti_pct,Co_ppm,Ni_ppm,Ba_ppm,Cd_ppm,Mg_pct,Mn_pct,Sc_ppm,V_ppm,Ca_pct,K_pct,Na_pct,P_pct,La_ppm,Se_ppm,W_ppm,Zr_ppm,Nb_ppm,Th_ppm,U_ppm,Y_ppm,Hf_ppm,Rb_ppm,Sr_ppm,Mo_ppm,Sn_ppm,Tl_ppm,In_ppm,Re_ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG115/116,590,0.047,1558.3,2.08,25,2.63,2.38,119,0.45,32.33,1700,0.67,0.13,0.025,6.2,27.6,8,0.26,0.77,0.234,1.5,10,2.75,0.06,0.007,0.03,3.2,0.15,1.2,6.6,0.48,0.5,0.1,4,0.17,7,28,1.11,2.5,0.07,0.38,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG115/117,1062,0.105,1507.7,3.43,30,18.01,1.8,196.7,0.66,31.23,7700,0.79,0.13,0.031,6.2,28.5,10,0.34,1.17,0.3174,1.7,11,2.58,0.08,0.011,0.039,2.1,0.3,0.7,8.7,0.58,0.4,0.1,4.6,0.21,8.3,29,0.32,2.4,0.1,0.51,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/057,62,0.04,1120,0.34,43,10.5,1.4,257,0.89,28.5,1900,1.18,0.04,0.04,8.6,48.6,10,0.3,1.36,0.279,2.1,15,4.84,0.13,0.03,0.035,3.5,1,1.4,12,1,0.8,0.2,5.4,0.4,15.8,35.6,0.46,1.5,0.16,0.289,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/058,4940,0.44,10000,11.4,60,158.5,4.4,220,1.57,21.5,39400,5.53,1.06,0.058,15.4,59.8,30,0.31,1.03,0.246,3.5,21,3.93,0.72,0.02,0.028,6.5,1,9.2,22.8,1.8,1.6,0.4,6.7,0.7,86.4,32.8,0.61,3,1.5,0.277,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/059,1350,0.16,10000,3.47,94,34.9,3.2,397,2.3,27.6,13300,3.26,0.24,0.103,14.7,100.5,40,0.27,1.33,0.294,5.9,35,3.32,0.97,0.01,0.036,7.4,1,3.2,39,2.6,2.6,0.7,7.4,1.1,103,29.3,0.8,3.8,1.71,0.494,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/061,734,0.12,2130,2.09,62,58.4,2.1,290,1.39,29.6,7500,1.14,0.1,0.06,10.8,59.3,20,0.35,1.26,0.306,3.6,23,3.52,0.34,0.03,0.04,7.5,1,0.9,20.8,1.8,1.6,0.4,6.9,0.6,38,30.1,0.85,2.5,0.56,0.339,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/062,52,0.08,120.5,0.21,20,26.1,1.6,151,0.68,33,2700,0.71,0.04,0.028,5.2,23.8,10,0.2,0.69,0.196,1.2,9,4.12,0.08,0.02,0.029,4.5,0.5,0.5,14.1,0.9,0.7,0.2,5.4,0.4,9.5,26.7,0.81,2.5,0.11,0.229,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/063,53,0.08,189.5,0.28,31,58.5,1,151,0.74,29.2,5500,0.61,0.04,0.032,7.1,34.8,10,0.19,0.78,0.193,1.6,11,2.98,0.08,0.02,0.034,3,1,0.4,11.7,0.9,0.8,0.2,4.9,0.3,8.8,17.9,0.88,2.5,0.12,0.23,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/064,47,0.08,174,0.18,60,37.7,1.3,158,1.5,26.1,3900,0.52,0.04,0.065,7.5,42.1,10,0.16,0.88,0.202,3.4,23,3.91,0.13,0.02,0.025,3.8,1,0.4,19.8,1.5,1.5,0.4,4.6,0.6,13.1,24.2,1.47,2.6,0.19,0.414,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/065,34,0.06,511,0.2,74,46.3,1,191,1.6,25.2,5200,0.53,0.04,0.067,10.4,61.5,10,0.16,1.01,0.196,3.8,24,1.89,0.16,0.01,0.025,6.1,1,0.3,19.6,1.6,1.5,0.4,5.4,0.5,14.6,11,1.09,1.8,0.24,0.247,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/068,4160,0.32,10000,9.79,141,143,4.4,282,2.92,20.1,31200,1.82,0.28,0.125,16.1,84.3,40,0.21,1.15,0.178,7.2,44,3.49,1.31,0.01,0.024,11.7,1,2.1,36.5,3.1,2.8,0.7,7.6,1.1,145,21.9,1.06,4.8,2.34,0.297,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/069,2960,0.19,10000,7.78,56,76.9,2.9,317,1.37,24.3,25900,5.14,0.53,0.058,9.9,58.8,20,0.29,1.29,0.282,3.4,21,3.74,0.52,0.02,0.03,7,1,0.3,20.7,1.5,1.8,0.4,6.7,0.6,59.6,30.3,0.56,3.1,0.97,0.319,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/070,164,0.06,2280,0.5,26,47.2,1.5,264,0.94,30.6,6200,1.08,0.11,0.038,8.2,38.1,20,0.21,1.03,0.24,1.6,10,2.5,0.22,0.01,0.032,4.6,1,1.9,21.5,1.3,0.9,0.2,5.7,0.6,22.8,22,0.54,3.3,0.35,0.303,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
