Body,Sample,Co_ppm,Ni_ppm,Al_pct,Ti_pct,S_ppm,Au_ppb,Ag_ppm,As_ppm,Bi_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Sn_ppm,Sr_ppm,Th_ppm,Be_ppm,Tl_ppm,U_ppm,W_ppm,Y_ppm,Zr_ppm,Cs_ppm,Ga_ppm,Hf_ppm,In_ppm,Rb_ppm,Re_ppm,Mg_pct,Mn_pct,Mo_ppm,Nb_ppm,Sb_ppm,Sc_ppm,Ta_ppm,Te_ppm,V_ppm,Ca_pct,K_pct,La_ppm,Li_ppm,Na_pct,P_pct,Se_ppm,Ba_ppm,Cd_ppm,Fe_pct,Cr_ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/137,14.9,99.4,0.89,0.037,85900,154,2.15,0.1,16.71,1368.88,13.53,47.8,1.4,111,0.7,0.5,0.47,0.1,12.6,5,8.7,13.6,3.3,0.16,0.1,36.7,0.001,1.02,0.1018,1.61,0.81,0.19,2.9,0.05,1.07,24,3.5,0.5,3.3,8.8,0.004,0.033,2.3,33,0.35,27.24,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/138,13.7,93.1,1.5,0.064,79700,2963,2.278,1.3,22.59,1340.64,12.09,78.7,1.7,111,1.5,0.5,0.93,0.3,0.5,5,15.3,23.9,5.62,0.42,0.14,64.8,0.001,1.26,0.0852,1.93,1.21,0.13,4.2,0.1,1.33,36,2.92,0.9,5.4,14.4,0.017,0.031,1.2,51,0.44,26.09,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/142,20.6,135.6,0.81,0.062,86600,792,1.994,3.7,10.94,2142.17,6.56,47.4,0.9,111,1.2,0.5,0.5,0.2,1.5,4.1,18.3,13.2,3.04,0.49,0.11,38.7,0.005,0.92,0.0956,0.71,0.83,0.12,3.1,0.1,0.06,26,2.27,0.5,5.5,6.7,0.006,0.032,1.1,32,0.52,34.67,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/143,18.6,111.9,1.45,0.057,77000,1535,1.374,2.8,12.87,1389.97,6.31,59.7,2,111,1.1,0.5,0.71,0.2,0.6,3.4,14.6,17,5.44,0.32,0.15,58.3,0.009,0.95,0.0721,1.7,1.12,0.12,4.2,0.1,1.02,31,1.49,0.89,3.8,14.3,0.022,0.034,0.9,44,0.27,28.05,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/144,15.9,93.4,1.32,0.048,69400,3258,1.148,2.1,23.84,1155.81,6.1,54.3,1.5,111,1.1,1,0.99,0.3,0.8,6.1,12.8,21.8,5.81,0.34,0.16,56.9,0.001,0.83,0.0765,1.34,1.52,0.15,3.5,0.1,2.15,23,3.07,0.61,6.2,8.7,0.007,0.031,0.5,30,0.36,23.57,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/148,35.1,157.5,1.54,0.068,84799.99,1440,2.009,56.5,13.85,1651.14,4.97,72.2,2.2,111,1.6,0.5,0.79,0.4,8.1,5.3,21.6,22.5,7.3,0.66,0.09,60.8,0.001,1.07,0.0796,1.12,1.65,0.26,4.1,0.2,0.72,30,2.74,0.78,5,9.1,0.033,0.049,2,38,0.16,29.5,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/149,39.5,141.5,1.28,0.045,76900,1646,1.823,246.6,20.13,1687.82,5.43,64.4,2.2,111,1.1,0.5,0.81,0.3,0.3,4.5,14.9,20,4.87,0.27,0.13,52.1,0.005,0.97,0.1186,1.18,1.38,0.44,3.6,0.1,1.52,23,2.98,0.63,4,7.1,0.013,0.037,0.4,37,0.3,26.96,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/213,6.8,45.4,0.71,0.028,51000,2026,0.893,2.9,10.9,795.76,4.28,70.8,1,111,0.6,0.5,0.55,0.05,0.4,3,7.7,14.8,3.6,0.19,0.1,36.9,0.007,0.75,0.0687,1,0.76,0.1,1.7,0.05,0.54,15,1.69,0.46,3,5.3,0.054,0.025,0.8,26,0.27,26.67,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/216,6.5,39.9,2.4,0.095,44900,5917,1.22,2.1,29.45,569.74,7.62,198.6,2.7,111,2,1,2.2,0.6,1.4,6,27.3,81.2,8.5,0.88,0.28,147.4,0.004,1.44,0.1698,0.78,2.62,0.19,5.4,0.2,1.31,31,3.46,1.83,9.3,16.8,0.256,0.029,0.4,73,0.54,23.29,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG84/232,11.8,64.8,0.62,0.029,59700,1435,1.409,10.7,31.15,1134.18,6.39,98.5,1.1,111,0.6,0.5,0.39,0.2,0.3,5.3,8.6,27.6,2.98,0.21,0.19,32.6,0.004,0.79,0.1118,0.95,0.7,0.23,1.8,0.05,1.89,11,3.02,0.32,4.3,1.8,0.047,0.03,1.7,24,0.41,29.56,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
