SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0231766,Karari UG,Karari Underground Main and Exploration Declines,Mine,Decline,Operating,J02241,Carosue Dam - Khartoum,122.359234000000001,-30.159172999999999,438298,6663403,51,Au Ag,Precious metal,GOLD,Karari,N,,Y,,Operating Mine,Public,3337,MULGABBIE,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",28,KURNALPI,Eastern Goldfields Superterrane,20250611
S0231780,Homestead Rd Lot 1 Manypeaks Lime 2/WALCO,Homestead Rd Loc 5310 Lot 1 Manypeaks Lime 2 / WALCO,Mine,Openpit,Operating,J04522,Manypeaks Lime / WALCO,118.207622000000001,-34.899234000000000,610335,6137466,50,Aglime Lst Lst-Lsd,Industrial mineral,LIMESTONE - LIMESAND,Manypeaks,N,,N,,Operating Mine,Public,2528,MANYPEAKS,SI50-11,MOUNT BARKER,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20250611
S0231801,Old Newdegate Rd Ravensthorpe Lot 1433 South,Old Newdegate Rd Ravensthorpe Lot 1433 South,Mine,Openpit,Operating,,,120.017983999999998,-33.543174000000000,223103,6284510,51,Gvl Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2930,RAVENSTHORPE,SI51-05,RAVENSTHORPE,"RAVENSTHORPE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",74,PHILLIPS RIVER M.F.,Youanmi Terrane,20250611
S0231817,Cowcowing Lakes South M70/173 M70/1078,Cowcowing Lakes South M70/173 M70/1078,Mine,Openpit,Operating,J00810,Cowcowing Lakes South - Wyalkatchem / Sunnylake,117.347960999999998,-31.014296000000002,533214,6568762,50,Gp,Industrial mineral,GYPSUM,Cowcowing Lakes South,Y,Gp,Y,,Operating Mine,Public,2335,DOWERIN,SH50-15,KELLERBERRIN,"WYALKATCHEM, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20250611
S0231819,Rocky Crossing Rd Lot 105 Sand 1 / AL Supplies,Rocky Crossing Rd Lot 105 Sand 1 / Albany Landscape Supplies,Mine,Openpit,Operating,J04563,Albany Sand / Albany Landscape Supplies,117.857309000000001,-34.950645000000002,578279,6132095,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2428,MOUNT BARKER,SI50-11,MOUNT BARKER,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Nornalup Zone,20250611
S0231828,Attwell Rd Lot 50/Attwell ,Attwell Rd Lot 50 Cuthbert / Attwell,Mine,Openpit,Operating,J05404,Albany Sand / Attwell,117.787559000000002,-35.027389999999997,571843,6123636,50,Lsd Sd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2427,ALBANY,SI50-15,ALBANY,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20250611
S0231829,Mokerdillup Rd Lot 42,Mokerdillup Road Lot 42 Wandillup,Mine,Openpit,Operating,J04566,Wandillup / Taylor,116.096523000000005,-34.054307000000001,416618,6231454,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2129,MANJIMUP,SI50-10,PEMBERTON,"BRIDGETOWN-GREENBUSHES, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,South West Terrane,20250611
S0231830,Sandalwood Rd Lot 67/Carbone,Sandalwood Rd Lot 67 Brunswick / Carbone,Mine,Openpit,Operating,J06341,South West Operations EIL  / Carbone,115.909154999999998,-33.188775999999997,398313,6327255,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20250611
S0231981,Magenta Dolomite/Grant,Magenta Dolomite / Grant,Mine,Openpit,Operating,J04160,Lake Cobham Dolomite / Grant,119.259041999999994,-33.445405000000001,709985,6297051,50,Dol Aglime Cali,Industrial mineral,DOLOMITE,Magenta,Y,"Dol, Aglime, Cali",Y,,Operating Mine,Public,2731,NEWDEGATE,SI50-08,NEWDEGATE,"LAKE GRACE, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20250611
S0231998,R41024 Grigg Rd Lort River Quarry / Shire,Reserve 41024 Grigg Rd Lot 2039 Lort River Quarry / Shire of Esperance,Mine,Openpit,Operating,J04498,GBRM / Shire of Esperance,121.416056999999995,-33.408974000000001,352714,6302252,51,Agg,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3131,LORT,SI51-05,RAVENSTHORPE,"ESPERANCE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Scaddan Embayment,20250611
